Ville,Type,Surface,NbPieces,NbChambres,NbSdb,DPE,Prix
Sevran,Appartement,-,1,-,-,-,68000
Sevran,Appartement,-,1,-,-,-,68000
Paris 15ème,Maison,264 ,7,5,3,-,320000
Saulx-les-Chartreux,Appartement,45 ,2,1,1,-,170000
Romainville,Maison,160 ,160,13,8,-,550000
Romainville,Maison,160 ,160,13,8,-,550000
Paris 20ème,Maison,45 ,4,3,1,-,22878
Paris 8ème,Maison,405 ,5,1,1,-,70000
Vanves,Appartement,22 ,2,1,1,-,140000
Roinvilliers,Maison,100 ,5,4,-,-,254400
Paris 16ème,Appartement,70 ,3,-,1,-,155150
Paris 6ème,Appartement,70 ,3,-,1,-,155150
Villemoisson-sur-Orge,Maison,129 ,6,4,2,-,310000
Stains,Appartement,80 ,5,3,1,-,250000
Paris 19ème,Appartement,61 ,3,2,1,-,510000
Paris 19ème,Appartement,61 ,3,2,1,-,510000
Montigny-lès-Cormeilles,Appartement,71 ,3,2,1,-,169000
Bezons,Maison,260 ,7,4,2,-,890000
Garges-lès-Gonesse,Appartement,58 ,3,2,1,-,140000
Paris 15ème,Appartement,35 ,2,1,1,-,320000
Paris 12ème,Appartement,65 ,2,1,1,-,520000
Paris 10ème,Appartement,52 ,3,2,1,-,260000
Pierrefitte-sur-Seine,Maison,93 ,6,4,2,-,300000
Villiers-Saint-Frédéric,Appartement,34 ,2,1,1,-,165000
La Roche-Guyon,Maison,110 ,5,4,1,-,260000
Courdimanche,Maison,85 ,4,3,1,-,275000
Villemoisson-sur-Orge,Maison,130 ,6,4,2,-,340000
Paris 10ème,Maison,405 ,9,2,2,-,90000
Menucourt,Appartement,67 ,3,2,1,-,190000
Sevran,Appartement,65 ,3,2,1,-,130000
Le Mesnil-le-Roi,Appartement,74 ,4,2,1,-,380000
Clichy,Appartement,30 ,2,1,1,-,178000
Torfou,Appartement,30 ,2,1,1,-,97000
Montmagny,Appartement,48 ,3,2,1,-,157000
Montmagny,Appartement,48 ,3,2,1,-,157000
Deuil-la-Barre,Appartement,77 ,3,2,1,-,260000
Fontainebleau,Appartement,90 ,4,2,1,-,290000
Clamart,Appartement,28 ,2,1,1,-,160000
Le Mesnil-le-Roi,Appartement,16 ,1,-,1,-,80000
Alfortville,Appartement,21 ,1,1,1,-,95000
Villemer,Maison,140 ,6,5,1,-,315000
Villeneuve-sur-Bellot,Maison,-,3,2,-,-,73000
Villeneuve-sur-Bellot,Maison,-,3,2,-,-,48000
Villeneuve-sur-Bellot,Maison,-,3,2,1,-,68000
Périgny,Maison,78 ,4,2,2,-,209000
Villeneuve-sur-Bellot,Maison,-,6,4,1,-,220000
Draveil,Maison,250 ,11,-,-,-,495000
Vinantes,Maison,118 ,7,5,2,-,138000
Yèbles,Maison,100 ,4,3,1,-,295000
Vieux-Champagne,Maison,100 ,5,3,1,-,163000
Grigny,Appartement,70 ,4,2,1,-,120000
Pontoise,Maison,122 ,6,4,2,-,450000
Servon,Appartement,63 ,3,2,1,-,168000
Servon,Appartement,63 ,3,2,1,-,168000
Servon,Appartement,63 ,3,2,1,-,168000
Servon,Appartement,63 ,3,2,1,-,168000
Évry,Maison,90 ,5,3,1,-,270000
Aulnay-sous-Bois,Appartement,27 ,2,1,1,-,115000
Choisy-le-Roi,Appartement,32 ,3,1,1,-,140000
Champigny-sur-Marne,Maison,148 ,5,3,2,-,395000
Paris 12ème,Appartement,50 ,2,1,1,-,420000
Champigny-sur-Marne,Maison,170 ,9,5,2,-,670000
Créteil,Appartement,74 ,3,2,1,-,289000
Deuil-la-Barre,Appartement,67 ,3,2,1,-,185000
Vaux-le-Pénil,Appartement,21 ,1,1,1,-,77000
Paris 10ème,Maison,100 ,3,2,2,-,149000
Paris 10ème,Maison,100 ,3,2,2,-,149000
Yerres,Appartement,64 ,3,2,1,-,210000
Paris 10ème,Maison,100 ,3,2,2,-,149000
Champigny-sur-Marne,Appartement,70 ,3,2,1,-,172000
Paris 20ème,Appartement,34 ,1,1,1,-,225000
Ville-Saint-Jacques,Maison,30 ,2,2,1,-,28900
Paris 1er,Appartement,70 ,3,2,1,-,85000
Paris 10ème,Maison,100 ,3,2,2,-,149000
La Queue-les-Yvelines,Appartement,31 ,-,-,1,-,158000
Paris 10ème,Appartement,48 ,2,1,1,-,315000
Paris 10ème,Maison,45 ,2,1,1,-,35000
Paris 10ème,Maison,100 ,3,2,2,-,149000
Paris 10ème,Maison,100 ,3,2,2,-,149000
Paris 3ème,Appartement,105 ,4,3,-,-,250000
Pierrelaye,Appartement,65 ,3,2,1,-,240000
Fontainebleau,Appartement,67 ,4,3,1,-,210000
Réau,Appartement,60 ,3,2,1,-,215000
Le Tertre-Saint-Denis,Maison,35 ,-,2,-,-,56000
Pierrelaye,Appartement,65 ,3,2,1,-,240000
Vulaines-lès-Provins,Maison,50 ,3,2,-,-,75000
Villenoy,Maison,86 ,4,3,1,-,250000
Argenteuil,Maison,62 ,3,2,1,-,320000
Courcouronnes,Appartement,50 ,3,1,1,-,150000
Savigny-le-Temple,Appartement,45 ,2,1,1,-,149500
Souppes-sur-Loing,Maison,350 ,16,8,8,-,380000
Neufmoutiers-en-Brie,Appartement,50 ,3,-,1,-,160000
Montgeron,Maison,434 ,7,6,2,-,440000
Vitry-sur-Seine,Maison,110 ,5,3,1,-,450000
Paris 13ème,Appartement,104 ,3,2,2,-,1030000
Thiais,Maison,90 ,5,3,1,-,360000
Sucy-en-Brie,Appartement,70 ,4,3,1,-,180000
Lisses,Maison,121 ,6,4,2,-,370000
Paris 18ème,Appartement,60 ,60,2,1,-,380000
Neufmoutiers-en-Brie,Maison,145 ,4,-,-,-,207000
Neufmoutiers-en-Brie,Maison,67 ,2,-,-,-,140000
Sannois,Appartement,217 ,4,4,2,-,70000
Paris 8ème,Appartement,-,2,1,-,-,85000
Oncy-sur-École,Maison,114 ,5,4,2,-,280000
Paris 17ème,Appartement,40 ,3,2,2,-,160000
Vaux-le-Pénil,Appartement,94 ,5,3,1,-,220000
Pontoise,Appartement,73 ,3,2,1,-,220000
Samoreau,Maison,50 ,2,1,1,-,160000
Paris 18ème,Appartement,110 ,3,2,2,-,820000
Puiseux-Pontoise,Appartement,110 ,5,3,2,-,320000
Vaux-le-Pénil,Maison,200 ,6,3,1,-,110000
Épinay-sur-Seine,Appartement,66 ,3,2,1,-,190000
Le Bourget,Maison,100 ,4,3,2,-,370000
Évry,Appartement,45 ,2,1,1,-,120000
Champagne-sur-Seine,Maison,80 ,4,2,1,-,260000
Villeneuve-sur-Bellot,Maison,200 ,4,2,1,-,140000
Pontault-Combault,Maison,65 ,3,2,1,-,230000
Drancy,Appartement,43 ,2,1,1,-,158000
Sarcelles,Appartement,25 ,1,1,1,-,86000
Antony,Maison,70 ,3,1,1,-,460000
Paris 10ème,Maison,250 ,-,-,-,-,150000
Aubervilliers,Maison,221 ,4,3,1,-,498000
Grigny,Appartement,75 ,2,3,1,-,115000
Chelles,Appartement,88 ,5,3,1,-,190000
Chaville,Appartement,58 ,3,2,1,-,258000
